sender,receiver,amount,timestamp,tx_type
ACC_0418,ACC_0057,652.13,2024-02-05 02:32:06,transfer
ACC_0200,ACC_0309,1010.07,2024-01-27 01:37:12,transfer
ACC_0490,ACC_0469,2165.25,2024-01-13 10:04:28,transfer
ACC_0238,ACC_0442,729.43,2024-02-10 17:35:52,payment
ACC_0055,ACC_0287,106162.1,2024-01-16 20:55:47,payment
ACC_0121,ACC_0250,1948.82,2024-03-12 16:23:02,withdrawal
ACC_0326,ACC_0011,2826.99,2024-03-30 22:45:04,transfer
ACC_0341,ACC_0363,1532.48,2024-01-29 20:11:48,transfer
ACC_0159,ACC_0088,233.23,2024-02-08 05:31:05,payment
ACC_0381,ACC_0176,631.25,2024-03-02 07:22:00,payment
ACC_0416,ACC_0468,1458.48,2024-02-07 11:59:54,payment
ACC_0357,ACC_0400,523.64,2024-01-20 23:25:52,transfer
ACC_0446,ACC_0284,158.5,2024-03-20 02:47:18,transfer
ACC_0153,ACC_0266,249.94,2024-02-15 21:39:51,transfer
ACC_0026,ACC_0043,193768.66,2024-02-09 06:26:38,transfer
ACC_0169,ACC_0326,2588.52,2024-01-31 19:09:44,transfer
ACC_0084,ACC_0032,1809.59,2024-03-18 11:19:48,payment
ACC_0227,ACC_0409,163.49,2024-02-08 02:31:04,payment
ACC_0197,ACC_0293,545.52,2024-01-24 04:05:46,payment
ACC_0269,ACC_0375,2409.13,2024-01-28 19:47:43,transfer
ACC_0183,ACC_0312,187996.96,2024-01-19 18:05:57,transfer
ACC_0379,ACC_0042,357.35,2024-01-15 14:32:01,payment
ACC_0087,ACC_0030,1522.26,2024-02-05 20:46:27,payment
ACC_0089,ACC_0224,1006.77,2024-01-17 12:39:27,withdrawal
ACC_0437,ACC_0477,471.06,2024-03-19 13:22:31,transfer
ACC_0236,ACC_0328,72626.35,2024-01-23 16:08:02,payment
ACC_0367,ACC_0372,10808.95,2024-02-19 13:57:46,payment
ACC_0232,ACC_0013,283.81,2024-03-24 18:52:12,transfer
ACC_0300,ACC_0309,1661.94,2024-01-24 09:59:55,payment
ACC_0051,ACC_0413,654.24,2024-01-15 04:45:07,transfer
ACC_0192,ACC_0066,433.32,2024-02-16 23:20:38,payment
ACC_0319,ACC_0338,103.68,2024-02-02 14:37:09,transfer
ACC_0000,ACC_0299,1945.6,2024-03-21 12:08:41,transfer
ACC_0419,ACC_0445,117754.01,2024-03-15 16:52:49,withdrawal
ACC_0238,ACC_0237,180.46,2024-01-06 08:29:28,payment
ACC_0231,ACC_0097,2593.98,2024-01-03 10:17:00,transfer
ACC_0107,ACC_0207,1451.74,2024-01-19 15:05:16,transfer
ACC_0038,ACC_0067,1714.92,2024-01-17 05:25:43,transfer
ACC_0160,ACC_0122,676.72,2024-01-05 23:23:02,transfer
ACC_0464,ACC_0305,409.43,2024-03-13 02:25:37,withdrawal
ACC_0444,ACC_0349,126.97,2024-01-09 23:38:06,transfer
ACC_0229,ACC_0309,130.01,2024-01-18 22:12:14,payment
ACC_0426,ACC_0051,2593.5,2024-03-14 18:47:13,withdrawal
ACC_0221,ACC_0022,2080.36,2024-01-06 14:37:33,withdrawal
ACC_0161,ACC_0043,1277.92,2024-02-21 22:01:10,transfer
ACC_0400,ACC_0489,523.09,2024-02-17 18:37:02,withdrawal
ACC_0246,ACC_0478,99682.49,2024-02-04 06:22:54,payment
ACC_0235,ACC_0064,80610.86,2024-01-20 12:24:52,transfer
ACC_0096,ACC_0399,2054.14,2024-03-18 22:52:20,transfer
ACC_0333,ACC_0204,345.92,2024-03-13 01:27:23,withdrawal
ACC_0316,ACC_0401,833.56,2024-03-24 22:48:14,transfer
ACC_0135,ACC_0225,1084.84,2024-02-04 12:46:37,payment
ACC_0230,ACC_0175,1912.08,2024-02-19 21:30:06,transfer
ACC_0035,ACC_0189,485.61,2024-01-28 12:16:42,payment
ACC_0083,ACC_0484,570.45,2024-02-05 00:26:56,payment
ACC_0379,ACC_0377,597.77,2024-02-17 08:33:28,withdrawal
ACC_0413,ACC_0090,167402.44,2024-02-23 18:22:19,transfer
ACC_0328,ACC_0472,961.43,2024-01-10 08:28:16,payment
ACC_0461,ACC_0489,100.0,2024-01-01 09:58:35,payment
ACC_0456,ACC_0281,100.0,2024-01-31 04:50:19,withdrawal
ACC_0371,ACC_0119,2006.04,2024-02-14 16:15:42,transfer
ACC_0283,ACC_0393,428.66,2024-03-20 06:03:58,transfer
ACC_0439,ACC_0425,713.54,2024-02-20 20:34:05,transfer
ACC_0217,ACC_0387,124399.32,2024-01-20 08:05:40,withdrawal
ACC_0268,ACC_0038,809.4,2024-03-27 17:19:57,transfer
ACC_0465,ACC_0297,670.74,2024-02-22 03:57:28,transfer
ACC_0187,ACC_0194,2007.15,2024-03-13 23:40:47,payment
ACC_0319,ACC_0491,636.99,2024-03-22 21:45:57,transfer
ACC_0212,ACC_0063,403.6,2024-02-07 14:03:27,payment
ACC_0110,ACC_0418,469.09,2024-03-04 13:10:47,withdrawal
ACC_0151,ACC_0033,417.21,2024-01-03 03:46:33,transfer
ACC_0216,ACC_0345,397.23,2024-02-26 09:32:21,transfer
ACC_0334,ACC_0395,100.0,2024-02-25 16:25:26,transfer
ACC_0480,ACC_0261,513.2,2024-02-10 06:14:57,transfer
ACC_0069,ACC_0246,209.47,2024-01-31 23:20:41,withdrawal
ACC_0099,ACC_0202,1204.53,2024-02-07 08:11:21,transfer
ACC_0487,ACC_0291,746.71,2024-02-28 15:36:21,payment
ACC_0179,ACC_0214,648.76,2024-02-02 19:11:14,payment
ACC_0017,ACC_0184,1847.16,2024-03-30 10:03:10,transfer
ACC_0101,ACC_0352,556.53,2024-02-16 23:42:10,transfer
ACC_0451,ACC_0155,6204.16,2024-03-25 05:29:17,transfer
ACC_0141,ACC_0029,1594.42,2024-03-25 07:48:21,payment
ACC_0077,ACC_0034,3178.73,2024-03-23 10:00:32,transfer
ACC_0396,ACC_0222,183.22,2024-01-16 11:50:34,transfer
ACC_0484,ACC_0395,71868.8,2024-01-18 01:01:30,withdrawal
ACC_0099,ACC_0047,3865.56,2024-01-12 11:23:27,payment
ACC_0353,ACC_0063,1213.46,2024-03-28 19:56:19,withdrawal
ACC_0313,ACC_0063,3370.63,2024-01-28 00:26:05,payment
ACC_0272,ACC_0482,1728.73,2024-03-21 21:40:14,payment
ACC_0382,ACC_0241,1456.35,2024-03-18 15:06:23,transfer
ACC_0193,ACC_0097,425.98,2024-02-05 05:39:17,transfer
ACC_0284,ACC_0389,3050.96,2024-01-18 10:14:43,payment
ACC_0465,ACC_0043,275.1,2024-01-04 03:58:48,transfer
ACC_0141,ACC_0487,560.38,2024-02-04 12:27:11,withdrawal
ACC_0257,ACC_0435,647.22,2024-03-28 22:44:10,transfer
ACC_0177,ACC_0076,367.95,2024-01-14 08:33:11,payment
ACC_0097,ACC_0182,420.55,2024-03-23 02:53:21,payment
ACC_0398,ACC_0100,200245.61,2024-03-18 16:06:54,withdrawal
ACC_0308,ACC_0312,1002.6,2024-03-26 09:30:03,transfer
ACC_0235,ACC_0112,109741.47,2024-02-25 21:11:41,transfer
ACC_0472,ACC_0162,1737.26,2024-03-10 08:52:12,transfer
ACC_0308,ACC_0160,2699.22,2024-01-16 16:16:04,transfer
ACC_0336,ACC_0403,1074.9,2024-01-21 13:52:28,transfer
ACC_0357,ACC_0468,234.41,2024-03-14 23:52:06,transfer
ACC_0053,ACC_0265,1082.04,2024-02-16 18:13:37,transfer
ACC_0138,ACC_0497,542.74,2024-02-16 03:12:40,transfer
ACC_0238,ACC_0486,4392.72,2024-01-07 00:20:37,transfer
ACC_0359,ACC_0318,100.0,2024-02-23 19:25:38,transfer
ACC_0490,ACC_0247,2664.0,2024-03-21 16:59:29,transfer
ACC_0400,ACC_0411,590.32,2024-03-08 06:50:23,transfer
ACC_0390,ACC_0228,2673.07,2024-02-27 09:56:36,payment
ACC_0150,ACC_0173,2877.78,2024-03-11 00:33:19,withdrawal
ACC_0335,ACC_0352,1130.27,2024-02-03 09:10:14,payment
ACC_0184,ACC_0252,2586.56,2024-02-14 02:04:56,transfer
ACC_0229,ACC_0298,102.67,2024-03-08 01:38:25,transfer
ACC_0186,ACC_0313,2897.27,2024-01-21 05:09:55,transfer
ACC_0447,ACC_0281,2289.24,2024-01-10 23:09:51,transfer
ACC_0141,ACC_0098,141.82,2024-01-30 12:36:55,withdrawal
ACC_0264,ACC_0363,1896.87,2024-03-09 10:46:45,transfer
ACC_0375,ACC_0178,1076.91,2024-03-13 04:46:14,transfer
ACC_0073,ACC_0124,433.86,2024-01-28 17:59:58,payment
ACC_0414,ACC_0352,387.2,2024-02-08 01:15:59,payment
ACC_0240,ACC_0290,2231.89,2024-03-08 07:39:31,transfer
ACC_0219,ACC_0410,773.86,2024-01-31 13:35:48,transfer
ACC_0180,ACC_0115,343.05,2024-02-12 01:45:59,transfer
ACC_0454,ACC_0375,1265.88,2024-01-17 12:28:15,transfer
ACC_0136,ACC_0007,76089.67,2024-02-09 11:51:17,transfer
ACC_0450,ACC_0117,2264.25,2024-01-06 07:31:28,transfer
ACC_0465,ACC_0314,2044.93,2024-02-27 20:52:35,withdrawal
ACC_0235,ACC_0306,222499.98,2024-03-15 21:57:24,payment
ACC_0454,ACC_0179,237.3,2024-02-11 11:36:42,transfer
ACC_0290,ACC_0238,2026.16,2024-02-14 06:34:34,payment
ACC_0203,ACC_0381,5828.46,2024-02-19 16:40:17,transfer
ACC_0356,ACC_0112,2387.27,2024-01-07 04:22:23,withdrawal
ACC_0423,ACC_0333,2130.85,2024-03-19 13:29:23,transfer
ACC_0064,ACC_0200,529.92,2024-03-14 23:56:30,withdrawal
ACC_0303,ACC_0215,4037.93,2024-02-01 00:25:27,transfer
ACC_0107,ACC_0084,271.85,2024-03-08 04:54:58,withdrawal
